LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,SmileGlobal,SmileFragment,ChainFragments,Screen,Interaction,Source,Confidence,Evidence,UniProt_Accession,PDB_structures_found,Example_PDB_ID
STARD5,START,Cholesterol,CHOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,,literature,1,literature_homology,HIGH,"Explicit GO cholesterol binding/transfer (also bile-acid binding, secondary)",Q9NSY2,1,2R55
STARD6,START,Cholesterol,CHOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,,literature,1,literature_homology,MEDIUM,"Function text hedged ('may bind cholesterol or other sterols', by similarity)",P59095,1,2MOU
OSBP,OSBP,Cholesterol,CHOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,,literature,1,literature_homology,HIGH,"Multiple structural sterol ligands (cholesterol, 25-/20-/7beta-hydroxycholesterol); textbook OSBP",P22059,16,7DEI
OSBPL1A,OSBP,Phosphatidic acid,PA,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCC/C=C\CCCCCCCC,,,literature,1,literature_homology,HIGH,"Function text, PubMed-backed: 'binds 25-hydroxycholesterol and cholesterol' + 'strong binding to phosphatidic acid' (note: gene alias ORP1 in MTBLS sample sheet collided with an unrelated protein; correct symbol is OSBPL1A)",Q9BXW6,5,5ZM5
OSBPL2,OSBP,Cholesterol,CHOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,,literature,1,literature_homology,HIGH,Structural PIP2 ligand evidence + explicit GO cholesterol binding/transfer,Q9H1P3,1,5ZM8
OSBPL4,OSBP,Cholesterol,CHOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,,literature,1,literature_homology,HIGH,Explicit GO cholesterol binding (delivers cholesterol to plasma membrane),Q969R2,0,
OSBPL10,OSBP,"Phosphatidylserine (36:2, representative)",PS(36:2),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O,,,literature,1,literature_homology,HIGH,Structural PS ligand evidence; specifically exchanges PS for PI4P,Q9BXB5,0,
PLEKHA8,GLTP,"Hexosyl ceramide (d*34:1, representative)",HexCer(d*34:1),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,,,literature,1,literature_homology,HIGH,Structural glucosylceramide ligand resolved; official symbol for old alias FAPP2 (avoid double-counting as two separate proteins),Q96JA3,1,5KDI
SEC14L3,CRAL-TRIO,alpha-Tocopherol,TOCO,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,,,literature,1,literature_homology,MEDIUM,Function text hedged ('probable'); may also bind squalene/phospholipids,Q9UDX4,0,
PTGDS,lipocalin,Prostaglandin D2,PGD2,CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O,,,literature,1,literature_homology,MEDIUM,"Well-established catalytic substrate/product (PGH2->PGD2), not a simple passive carrier interaction like the rest of the table",P41222,15,4IMN
LCN8,lipocalin,Retinol,VA,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,,,literature,1,literature_homology,LOW,Function text hedged: 'may act as a retinoid carrier protein',Q6JVE9,0,
OBP2A,lipocalin,Palmitate (16:0),FA(16:0),CCCCCCCCCCCCCCCC(=O)O,,,literature,1,literature_homology,LOW,"Odorant-binding context (olfactory), tangential to intracellular membrane-lipid-mobility theme of this dataset",Q9NY56,1,4RUN
C8G,lipocalin,Retinol,VA,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,,,literature,1,literature_homology,LOW,"GO 'retinol binding' likely inferred from lipocalin-fold homology (IEA), not an established physiological role (primary function is complement MAC pore)",P07360,6,6B0V
FABP5P3,lipocalin,Palmitate (16:0),FA(16:0),CCCCCCCCCCCCCCCC(=O)O,,,literature,1,literature_homology,LOW,Pseudogene-derived paralog (P3 suffix); GO fatty-acid-binding term present but biological relevance uncertain,A8MUU1,0,
